Comment,Description,Designator,Footprint,LibRef,Quantity
"1k","RC0402FR-071KL, RC0402JR-0727RL","R130, R131, R200, R201, R204, R205, R206, R209, R400, R401","RESC1005X40X25NL05T10","CMP-2002-07472-1, CMP-1011-00036-2","10"
"27R","RC0402JR-0727RL","R202, R203, R435, R436, R706, R707, R708, R710, R712, R713, R715, R716","RESC1005X40X25NL05T10","CMP-1011-00036-2","12"
"220R","MC00625W04021220R","R207, R722","RESC1005X40X25NL10T10","CMP-2002-06050-1","2"
"5K1","RC0402FR-075K1L","R300, R303, R309, R310","RESC1005X40X25ML05T10","CMP-2002-07753-1","4"
"0.1R","CRM2512-FX-R100ELF, RES 0.1 OHM 1% 2W 2512","R302, R308","FP-CRM2512-MFG","CMP-07231-000004-1","2"
"0R","CRCW040210K0FKED","R304, R305, R306, R307","RESC1005X40X25NL05T05","CMP-2002-08135-1","4"
"DNI","CRCW040210K0FKED","R500, R501","RESC1005X40X25NL05T05","CMP-2002-08135-1","2"
"DNI","RC0402JR-070RL","R510, R525","RESC1005X40X25NL05T10","CMP-1011-00001-2","2"
"20K","RC0402FR-0720KL","R526, R527, R530, R531","RESC1005X40X25NL05T10","CMP-2002-07501-1","4"
"12K","CRCW040212K0FKED","R714, R717, R724, R725","RESC1005X40X25NL05T05","CMP-1011-00631-2","4"
"36K 0402","CRCW040236K0FKED, RES Thick Film, 36kO, 1%, 0.063W, 100ppm/°C, 0402","R718, R719, R720, R721","FP-CRCW0402-e3-IPC_C","CMP-2002-08550-2","4"
"1K","Chip Resistor, 1 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel

ERJ-2RKF1001X","R800, R801, R803, R812, R813, R814, R815, R816, R820, R821, R822, R826, R827, R828","RESC1005X40X25NL05T05","CMP-1011-00510-4","14"
"2K","RC0402JR-072KL","R817, R818, R819, R823, R824, R825","RESC1005X40X25ML05T10","CMP-2002-07972-1","6"
"5003","Test Point, Orange, Height 4.6 mm, Tail Length 3 mm, 1-Pin THD, RoHS","TP100","KSTN-5003","CMP-002-00037-1","1"
"TS3A44159PWR","Integrated Circuit","U100, U600","SOP65P640X120-16N","TS3A44159PWR","2"
"RPI_CM4","Raspberry Pi compute module 4","U200","RPI_CM4","RPI_CM4","1"
"74LVC1G07SE-7","Undefined or Miscellaneous","U201, U202","SOT65P210X110-5N","74LVC1G07SE-7","2"
"ME6231A33M3G","Linear Voltage Regulator IC, 3.3V Fixed Output, 500mA, SOT-23-5","U301","SOT23-5","CMP-019-00053-1","1"
"MCP23017-E/SS","16-Bit I/O Expander with Serial Interface, 28-Pin SSOP, Extended Temperature","U500","SSOP-SS28_N","CMP-0186-00176-2","1"
"AD5593RBRUZ","Configurable ADC/DAC with On-Chip Reference, I2C Interface, 8-Channel, 12-Bit, 1.8 to 5.5 V, -40 to 105 degC, 16-Pin TSSOP (RU), RoHS, Tube","U502","ADI-RU-16_L","CMP-2000-05745-1","1"
"LM224DR2G","Single Supply Quad Operational Amplifier, 3 to 32 V, -25 to 85 degC, 14-Pin SOIC, Pb-Free, Tape and Reel","U503","ONSC-SOIC-14-751A-03_V","CMP-1310-00201-1","1"
"XFNanoRx2G4_Adaptor_Board","Buadrate translator Adaptor Board","U700, U701, U702, U704","XFNanoRx2G4_Adaptor","XFNanoRx2G4_Adaptor_Board","4"
"USB2514B","USB 2.0 HS 4 port","U703","QFN50P600X600X100-37N-D","USB2514B-AEZC-TR","1"
"ESP-WROOM-32","ESP-WROOM-32 MODULE","U800","ESP_WROOM_32","ESP-WROOM-32","1"
"CL57_RA","CL57 Stepper Module, 24-48V, 8A output","U801, U802, U803","CL57_STEPPER_RA","CL57_RA","3"
"ABM3B-24.000MHZ-B2-T","Ceramic SMD Crystal, 24 MHz, +/- 20 ppm, 50 Ohm, -20 to 70 degC, 4-Pin SMD, RoHS, Tape and Reel","X700","ABRA-ABM3B-4_V","CMP-1688-00008-1","1"
